phase,config,compiler,opt,target_func,candidate_func,model,similarity
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_18570,CLAP,0.106794
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_18570,jTrans,0.114014
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,FUN_18570,safe,0.119997
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,ca_dn_cmp,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,ca_dn_cmp,BinCola,-0.172232
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,ca_dn_cmp,CLAP,0.310002
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,ca_dn_cmp,jTrans,0.234657
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,ca_dn_cmp,safe,0.177444
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_get_timeout,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_get_timeout,BinCola,0.003204
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_get_timeout,CLAP,0.114949
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_get_timeout,jTrans,0.049651
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,SSL_CTX_get_timeout,safe,0.131793
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,tls1_cert_verify_mac,asm2vec,0.321530
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,tls1_cert_verify_mac,BinCola,0.274524
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,tls1_cert_verify_mac,CLAP,0.669332
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,tls1_cert_verify_mac,jTrans,0.425698
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,tls1_cert_verify_mac,safe,0.579273
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_167b6,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_167b6,BinCola,0.000000
